Date,Address,Rate,Amount,Category,Product Name
2025-11-24,"Bhaktapur, Bagmati",100,100,Grains & Pulses,"Vermicelli (Sewai, 500g)"
2024-01-05,"Biratnagar, Koshi",150,450,Snacks,Peanuts (500g)
2025-02-25,"Kathmandu, Bagmati",150,300,Condiments,Ginger Garlic Paste (jar)
2025-09-26,"Hetauda, Bagmati",100,200,Spices,Dry Chilies (100g)
2024-01-09,"Lalitpur, Bagmati",100,300,Snacks,Puffed Rice (1kg)
2024-06-28,"Dharan, Koshi",150,150,Grains & Pulses,"Chana (Kala Chana, 1kg)"
2024-05-26,"Butwal, Lumbini",150,150,Grains & Pulses,"Chana (Kala Chana, 1kg)"
2025-04-16,"Nepalgunj, Lumbini",25,250,Essentials,Salt (1kg)
2025-08-29,"Kathmandu, Bagmati",500,1500,Vegetables,Bamboo Shoots (1kg)
2024-07-21,"Itahari, Koshi",200,400,Essentials,"Cooking Oil (Sunflower, 1L)"
2024-03-13,"Chitwan, Bagmati",50,400,Snacks,Biscuits (pack)
2024-03-02,"Chitwan, Bagmati",240,720,Health Foods,Flax Seeds (1kg)
2024-04-12,"Butwal, Lumbini",200,600,Grains & Pulses,Moong Dal (1kg)
2024-08-11,"Hetauda, Bagmati",130,130,Grains & Pulses,"Rice (white, 1kg)"
2024-10-19,"Janakpur, Madhesh",150,150,Grains & Pulses,Masoor Dal (1kg)
2024-01-19,"Nepalgunj, Lumbini",30,30,Snacks,"Noodles (Maggi, pack)"
2025-02-12,"Butwal, Lumbini",50,50,Snacks,Papad (pack)
2025-02-28,"Bhaktapur, Bagmati",80,80,Bakery,Bread (loaf)
2025-06-11,"Hetauda, Bagmati",100,200,Vegetables,Tomatoes (1kg)
2024-05-12,"Kathmandu, Bagmati",90,720,Flours,"Wheat Flour (Atta, 1kg)"
2025-07-08,"Lalitpur, Bagmati",80,320,Personal Care,Toothpaste (100g)
2025-02-08,"Itahari, Koshi",150,150,Grains & Pulses,Masoor Dal (1kg)
2024-08-05,"Pokhara, Gandaki",240,240,Dairy,Eggs (dozen)
2024-03-18,"Butwal, Lumbini",25,250,Essentials,Salt (1kg)
2025-11-04,"Nepalgunj, Lumbini",150,450,Condiments,Ginger Garlic Paste (jar)
2024-11-15,"Biratnagar, Koshi",25,175,Essentials,Salt (1kg)
2024-01-03,"Hetauda, Bagmati",50,50,Snacks,Titaura (pack)
2025-09-06,"Dharan, Koshi",50,400,Personal Care,"Soap (bath, bar)"
2025-07-27,"Chitwan, Bagmati",150,300,Flours,"Besan (Gram Flour, 1kg)"
2024-08-07,"Itahari, Koshi",200,400,Essentials,"Cooking Oil (Sunflower, 1L)"
2024-01-17,"Biratnagar, Koshi",30,60,Household,Candles (pack)
2025-07-28,"Pokhara, Gandaki",80,160,Vegetables,Potatoes (1kg)
2024-06-15,"Kathmandu, Bagmati",150,450,Flours,"Besan (Gram Flour, 1kg)"
2025-02-14,"Bhaktapur, Bagmati",180,540,Flours,Multi-grain Atta (1kg)
2024-11-19,"Hetauda, Bagmati",100,300,Snacks,Puffed Rice (1kg)
2024-12-22,"Pokhara, Gandaki",50,200,Snacks,Titaura (pack)
2025-03-06,"Nepalgunj, Lumbini",50,200,Snacks,Titaura (pack)
2024-07-29,"Janakpur, Madhesh",240,480,Health Foods,Flax Seeds (1kg)
2025-01-20,"Butwal, Lumbini",105,210,Essentials,Sugar (1kg)
2025-02-08,"Nepalgunj, Lumbini",50,100,Spices,Coriander Powder (100g)
2024-05-29,"Janakpur, Madhesh",5,30,Household,Matches (box)
2024-09-03,"Bhaktapur, Bagmati",50,450,Personal Care,"Soap (bath, bar)"
2024-04-06,"Pokhara, Gandaki",70,560,Personal Care,Mehendi (200g)
2024-02-24,"Itahari, Koshi",50,200,Snacks,Biscuits (pack)
2025-09-08,"Butwal, Lumbini",25,175,Essentials,Salt (1kg)
2025-11-04,"Janakpur, Madhesh",100,100,Snacks,Puffed Rice (1kg)
2024-01-08,"Dharan, Koshi",50,100,Snacks,Biscuits (pack)
2024-09-01,"Butwal, Lumbini",100,300,Vegetables,Onions (1kg)
2025-05-08,"Dharan, Koshi",500,500,Vegetables,Bamboo Shoots (1kg)
2025-11-09,"Butwal, Lumbini",100,200,Grains & Pulses,"Beaten Rice (Chiura, 1kg)"
2024-04-02,"Hetauda, Bagmati",50,300,Snacks,Titaura (pack)
2025-01-05,"Bhaktapur, Bagmati",240,480,Health Foods,Flax Seeds (1kg)
2025-05-17,"Itahari, Koshi",105,210,Essentials,Sugar (1kg)
2024-01-23,"Kathmandu, Bagmati",150,300,Snacks,Peanuts (500g)
2025-07-05,"Janakpur, Madhesh",100,100,Grains & Pulses,"Vermicelli (Sewai, 500g)"
2025-07-11,"Itahari, Koshi",150,150,Flours,"Besan (Gram Flour, 1kg)"
2025-06-09,"Biratnagar, Koshi",50,200,Snacks,Titaura (pack)
2024-10-07,"Pokhara, Gandaki",120,360,Dairy,Milk (1L)
2025-07-09,"Hetauda, Bagmati",550,1650,Beverages,Tea Leaves (1kg)
2024-05-10,"Itahari, Koshi",1150,1150,Dairy,Ghee (1L)
2024-08-29,"Itahari, Koshi",50,500,Snacks,Titaura (pack)
2025-08-10,"Butwal, Lumbini",120,120,Flours,"Suji (Semolina, 1kg)"
2025-01-01,"Dharan, Koshi",50,150,Spices,Chili Powder (100g)
